fips,county_name,state_abbr,turbine_class,wind_breakeven_cost_btm,wind_tp_btm,wind_ep_btm
40139,Texas,OK,residential,4360,74.3,0.0
53043,Lincoln,WA,residential,3267,65.0,0.0
35057,Torrance,NM,residential,4411,62.0,0.1
35059,Union,NM,residential,7826,36.6,36.6
26067,Ionia,MI,residential,6991,33.1,33.1
08063,Kit Carson,CO,residential,7507,31.5,31.5
30051,Liberty,MT,residential,6249,30.6,30.6
27069,Kittson,MN,residential,5345,30.0,0.0
48109,Culberson,TX,residential,6800,29.2,29.2
35013,Doña Ana,NM,residential,3688,25.6,0.0
38105,Williams,ND,residential,4767,21.7,9.8
40077,Latimer,OK,residential,970,20.6,0.0
48421,Sherman,TX,residential,4821,18.1,5.9
36045,Jefferson,NY,residential,5341,18.0,5.2
48229,Hudspeth,TX,residential,4304,15.3,14.5
01101,Montgomery,AL,residential,2480,13.3,0.0
17031,Cook,IL,residential,5315,12.9,1.2
48283,La Salle,TX,residential,3976,12.8,0.0
46099,Minnehaha,SD,residential,5708,12.5,12.5
48105,Crockett,TX,residential,7346,12.4,12.4
46069,Hyde,SD,residential,5697,12.1,12.1
38041,Hettinger,ND,residential,5162,10.5,5.3
06047,Merced,CA,residential,13095,10.4,5.7
38029,Emmons,ND,residential,4524,10.1,2.6
48011,Armstrong,TX,residential,6818,9.8,9.8
36065,Oneida,NY,residential,3353,9.5,0.1
38049,McHenry,ND,residential,3963,9.4,0.0
49003,Box Elder,UT,residential,5343,9.4,9.4
04015,Mohave,AZ,residential,6709,8.8,8.3
27045,Fillmore,MN,residential,7823,8.5,8.5
45029,Colleton,SC,residential,3153,8.4,0.0
13033,Burke,GA,residential,3570,8.1,0.0
27091,Martin,MN,residential,8102,8.0,8.0
37061,Duplin,NC,residential,3916,7.9,0.0
48027,Bell,TX,residential,5430,7.7,0.8
48479,Webb,TX,residential,5659,7.6,7.6
48371,Pecos,TX,residential,6470,7.4,7.4
08023,Costilla,CO,residential,4727,7.3,7.1
55075,Marinette,WI,residential,3821,7.1,0.0
06071,San Bernardino,CA,residential,11413,7.1,0.4
48133,Eastland,TX,residential,7453,7.1,7.1
21047,Christian,KY,residential,4164,7.1,0.0
08021,Conejos,CO,residential,2950,6.9,0.0
06025,Imperial,CA,residential,12006,6.9,6.9
48491,Williamson,TX,residential,7733,6.8,6.7
06029,Kern,CA,residential,18316,6.7,0.4
36075,Oswego,NY,residential,4174,6.5,3.2
